data,date,hits,geo,time,keyword,gprop,category,gender,candidate_id,prior_vperc,prior_vperc_fct
2,2019-06-08T00:00:00Z,0,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-09T00:00:00Z,0,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-10T00:00:00Z,0,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-11T00:00:00Z,0,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-12T00:00:00Z,3,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-13T00:00:00Z,3,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-14T00:00:00Z,3,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-15T00:00:00Z,0,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-16T00:00:00Z,3,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-17T00:00:00Z,3,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-18T00:00:00Z,3,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
2,2019-06-19T00:00:00Z,0,US,today 1-m,Tim Ryan 2020,web,0,Men,2,0.2 - 0.4% of voters,0.2 - 0.4% of voters
